vendor,period,invoice_amount,qbo_amount,status,notes
Blue Shield of California,Jan 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Feb 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Mar 2025,1200.0,0.0,Unmatched,No matching QBO entry
Comcast Business,Jan 2025,189.0,189.0,Matched,Exact match
Comcast Business,Feb 2025,189.0,0.0,Unmatched,No matching QBO entry
Comcast Business,Mar 2025,189.0,189.0,Matched,Exact match
Google Cloud Platform,Jan 2025,312.5,312.5,Matched,Exact match
Google Cloud Platform,Feb 2025,425.0,350.0,Partial,$75.00 short in QBO
Google Cloud Platform,Mar 2025,198.75,248.75,Partial,$50.00 over in QBO
AWS,Jan 2025,987.45,987.45,Matched,Exact match
AWS,Feb 2025,1262.32,1262.32,Matched,Exact match
AWS,Mar 2025,862.18,862.18,Matched,Exact match
AWS,Apr 2025,750.0,750.0,Matched,Exact match
Salesforce,Jan 2025,500.0,500.0,Matched,Exact match
Salesforce,Feb 2025,500.0,500.0,Matched,Exact match
Salesforce,Mar 2025,500.0,500.0,Matched,Exact match
Slack,Feb 2025,150.0,150.0,Matched,Exact match
Slack,Mar 2025,150.0,150.0,Matched,Exact match
Slack,Apr 2025,150.0,150.0,Matched,Exact match
