vendor,period,invoice_amount,qbo_amount,status,notes
Blue Shield of California,Jan 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Feb 2025,1200.0,1200.0,Matched,Exact match
Blue Shield of California,Mar 2025,1200.0,0.0,Unmatched,No matching QBO entry
Comcast Business,Jan 2025,189.0,189.0,Matched,Exact match
Comcast Business,Feb 2025,189.0,0.0,Unmatched,No matching QBO entry
Comcast Business,Mar 2025,189.0,189.0,Matched,Exact match
Google Cloud Platform,Jan 2025,312.5,987.45,Partial,$674.95 over in QBO
Google Cloud Platform,Feb 2025,425.0,1262.32,Partial,$837.32 over in QBO
Google Cloud Platform,Mar 2025,198.75,862.18,Partial,$663.43 over in QBO
AWS,Jan 2025,987.45,312.5,Partial,$674.95 short in QBO
AWS,Feb 2025,1262.32,350.0,Partial,$912.32 short in QBO
AWS,Mar 2025,862.18,248.75,Partial,$613.43 short in QBO
AWS,Apr 2025,750.0,750.0,Matched,Exact match
Salesforce,Jan 2025,500.0,500.0,Matched,Exact match
Salesforce,Feb 2025,500.0,500.0,Matched,Exact match
Salesforce,Mar 2025,500.0,500.0,Matched,Exact match
Salesforce,Apr 2025,0.0,600.0,Partial,$600.00 over in QBO
Slack,Jan 2025,0.0,150.0,Partial,$150.00 over in QBO
Slack,Feb 2025,150.0,150.0,Matched,Exact match
Slack,Mar 2025,150.0,150.0,Matched,Exact match
Slack,Apr 2025,150.0,150.0,Matched,Exact match
